label,precision,recall,f1
0,0.813953488372093,0.8695652173913043,0.8408408408408409
1,0.8913043478260869,0.9479768786127167,0.9187675070028011
2,0.7368421052631579,0.7039106145251397,0.72
3,0.715,0.8218390804597702,0.7647058823529413
4,0.7752808988764045,0.7796610169491526,0.7774647887323943
5,0.6666666666666666,0.5833333333333334,0.6222222222222222
6,0.8857142857142857,0.8,0.840677966101695
7,0.8456375838926175,0.7777777777777778,0.8102893890675241
8,0.686046511627907,0.7108433734939759,0.6982248520710059
9,0.7162162162162162,0.7114093959731543,0.7138047138047138
